show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,,,India,"September 15, 2021",2014,TV-G,1 Season,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
s76,Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",,"September 14, 2021",2021,TV-G,106 min,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
s107,TV Show,Bunk'd,,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,"September 5, 2021",2021,TV-G,5 Seasons,"Kids' TV, TV Comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
s109,TV Show,Dive Club,,"Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",Australia,"September 3, 2021",2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
s188,TV Show,The Ingenuity of the Househusband,,Kenjiro Tsuda,,"August 29, 2021",2021,TV-G,1 Season,"International TV Shows, TV Comedies",A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
s233,TV Show,Wheel of Fortune,,"Pat Sajak, Vanna White",United States,"August 25, 2021",2019,TV-G,3 Seasons,Reality TV,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases."
s429,Movie,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,"Somegoro Ichikawa, Hana Sugisaki, Megumi Han, Natsuki Hanae, Yuuichirou Umehara, Megumi Nakajima, Sumire Morohoshi, Hiroshi Kamiya, Maaya Sakamoto, Koichi Yamadera, Kikuko Inoue",,"July 22, 2021",2021,TV-G,87 min,"Anime Features, Children & Family Movies, International Movies","After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer."
s485,Movie,Lee Su-geun: The Sense Coach,Kim Joo-hyung,Lee Su-geun,,"July 9, 2021",2021,TV-G,46 min,Stand-Up Comedy,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows."
s507,Movie,This Little Love Of Mine,Christine Luby,"Saskia Hampele, Liam McIntyre, Lynn Gilmartin, Craig Horner",Australia,"July 7, 2021",2021,TV-G,92 min,"International Movies, Romantic Movies",A workaholic lawyer returns to her island home to convince an old friend to take over his family’s company — but rekindled feelings soon get in the way.
s531,TV Show,Richie Rich,,"Jake Brennan, Joshua Carlon, Lauren Taylor, Jenna Ortega, Kiff VandenHeuvel, Brooke Wexler",United States,"July 6, 2021",2015,TV-G,2 Seasons,"Kids' TV, TV Comedies","After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure."
s535,Movie,Si Doel the Movie 2,Rano Karno,"Maudy Koesnaedi, Rano Karno, Cornelia Agatha, Mandra Naih, Aminah Tjendrakasih, Suty Karno, Adam Jagwani",Indonesia,"July 6, 2021",2019,TV-G,95 min,"Dramas, International Movies","As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go."
s541,TV Show,The Worst Witch,,"Bella Ramsey, Clare Higgins, Meibh Campbell, Raquel Cassidy, Jenny Richardson, Miriam Petche, Tallulah Milligan, Wendy Craig, Shauna Shim","United Kingdom, Germany","July 6, 2021",2020,TV-G,4 Seasons,"British TV Shows, Kids' TV","After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."
s566,TV Show,Bureau of Magical Things,,"Kimie Tsukakoshi, Elizabeth Cullen, Mia Milnes, Julian Cullen, Rainbow Wedell, Jamie Carter, Christopher Sommers","Australia, Germany","July 1, 2021",2020,TV-G,1 Season,"International TV Shows, Kids' TV, TV Mysteries","When a teen accidentally discovers an enchanted realm, she becomes the only one able to unite the human and magical worlds – and save both from evil."
s648,TV Show,The Parisian Agency: Exclusive Properties,,"Olivier Kretz, Sandrine Kretz, Valentin Kretz, Martin Kretz, Louis Kretz",,"June 23, 2021",2021,TV-G,1 Season,"International TV Shows, Reality TV",This reality series follows the Kretz family and their luxury property business as they help clients buy and sell fabulous homes in France and abroad.
s718,Movie,Headspace: Unwind Your Mind,,"Andy Puddicombe, Evelyn Lewis Prieto, Ginger Daniels, Darren Pettie, Simon Prebble, Rhiannon Mcgavin, Kate Seftel",,"June 15, 2021",2021,TV-G,273 min,Documentaries,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special."
s720,TV Show,Power Rangers Dino Fury,,"Russell Curry, Hunter Deno, Kai Moya, Tessa Rao, Chance Perez, Shavaughn Ruakere, Blair Strang",United States,"June 15, 2021",2021,TV-G,1 Season,Kids' TV,"With the prehistoric force of the dinosaurs, a new crew of Power Rangers must deal with a menacing army of alien creatures attacking Earth."
s724,TV Show,The American Bible Challenge,Michael Simon,Jeff Foxworthy,United States,"June 15, 2021",2014,TV-G,1 Season,Reality TV,"Join host Jeff Foxworthy as contestants test their knowledge of all things biblical, competing to win money for the charities of their choice."
s756,Movie,Kitty Love: An Homage to Cats,,Nicolette Kluijver,Netherlands,"June 5, 2021",2021,TV-G,61 min,"Children & Family Movies, Documentaries, International Movies","Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos."
s760,Movie,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,George Ford,,,"June 4, 2021",2015,TV-G,60 min,Movies,"The first of its kind in UHD 4K, with the clearest picture available, a real fireplace sparks and crackles, adding warmth and atmosphere to any home."
s761,Movie,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,George Ford,,,"June 4, 2021",2015,TV-G,60 min,Movies,"For the first time in 4K Ultra-HD, everyone's favorite Yuletide fireplace snaps and crackles in crystal clear, high-def holiday warmth."
s770,Movie,From Stress to Happiness,"Alejandro De Grazia, Juan Stadler",,Argentina,"June 3, 2021",2020,TV-G,58 min,"Documentaries, International Movies","A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world."""
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,,Sam Smith,,"May 22, 2021",2020,TV-G,61 min,"International Movies, Music & Musicals","Grammy-winning artist Sam Smith gives an intimate, soulful performance at the iconic Abbey Road Studios featuring songs from their third album and more."
s968,TV Show,Headspace Guide to Sleep,,Evelyn Lewis Prieto,,"April 28, 2021",2021,TV-G,1 Season,"Docuseries, Science & Nature TV","Learn how to sleep better with Headspace. Each episode unpacks misconceptions, offers friendly tips and concludes with a guided wind-down."
s992,Movie,One Like It,Marwan Nabil,"Riham Abdel Ghafour, Mohammed Aly Rizk, Hazem Samir, Salwa Othman, Mahmoud Gharib",Egypt,"April 23, 2021",2020,TV-G,15 min,"Dramas, Independent Movies, International Movies",This short film follows a day in the life of a young woman in Egypt and how her interactions with others expose long-standing stereotypes and biases.
s993,Movie,Perfume Imaginary Museum “Time Warp”,"MIKIKO, Daito Manabe",Perfume,,"April 23, 2021",2020,TV-G,54 min,"International Movies, Music & Musicals","This visually stunning special performance was the highlight of Perfume’s ""P.O.P"" Festival — the J-pop trio’s 20th anniversary online celebration."
s1082,TV Show,"Nicky, Ricky, Dicky & Dawn",,"Brian Stepanek, Allison Munn, Aidan Gallagher, Casey Simpson, Mace Coronel, Lizzy Greene",United States,"April 12, 2021",2018,TV-G,4 Seasons,"Kids' TV, TV Comedies","Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last."
s1124,TV Show,Magical Andes,,,"Uruguay, Germany","April 1, 2021",2021,TV-G,2 Seasons,"Docuseries, International TV Shows, Science & Nature TV","From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains."
s1159,TV Show,Big Time Rush,,"Kendall Schmidt, James Maslow, Carlos Pena, Logan Henderson, Ciara Bravo, Stephen Kramer Glickman, Tanya Chisholm, Challen Cates, Erin Sanders, Matt Riedy",United States,"March 26, 2021",2013,TV-G,4 Seasons,Kids' TV,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives."
s1184,Movie,Reframe THEATER EXPERIENCE with you,Taketoshi Sado,Perfume,,"March 19, 2021",2020,TV-G,84 min,"International Movies, Music & Musicals","Perfume's Reframe 2019 concert, performed to great effect in the newly reconstructed Line Cube Shibuya, is recreated as a high-tech concert film."
s1190,Movie,Nate Bargatze: The Greatest Average American,Troy Miller,Nate Bargatze,United States,"March 18, 2021",2021,TV-G,60 min,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special."
s1207,TV Show,Zero Chill,,"Grace Beedie, Dakota Benjamin Taylor, Jade Ma, Jeremias Amoore, Leonardo Fontes, Anastasia Chocholatá, Sarah-Jane Potts, Doug Rao, Tanja Ribič, Oscar Skagerberg, Jerry Kwarteng",United Kingdom,"March 15, 2021",2021,TV-G,1 Season,"British TV Shows, Kids' TV, TV Dramas","Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy."
s1210,Movie,Just In Time,Dolapo Adeleke,"Sarah Hassan, Stycie Waweru, Mawuli Gavor, Pierra Makena, Eve D'Souza, Christabel Jazz Mistri, Martin Githinji, Lydia Gitachu, Kagwe Mungai, Blessing Lung'Aho",Kenya,"March 12, 2021",2020,TV-G,92 min,"Comedies, Dramas, International Movies",A meticulous clerk for a bookstore that has just been shuttered suddenly finds herself taking care of her cousin's witty 11-year-old daughter.
s1226,TV Show,Marriage or Mortgage,,,,"March 10, 2021",2021,TV-G,1 Season,"Reality TV, Romantic TV Shows",A wedding planner and a real estate agent compete to win the hearts and budgets of spouses-to-be. Will they pick fairy-tale nuptials or a dream home?
s1251,Movie,Connected,Milton Kremer,"Hernán Cattáneo, Richard Coleman",,"March 1, 2021",2021,TV-G,42 min,"Documentaries, International Movies, Music & Musicals","Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón."
s1279,Movie,Brian Regan: On the Rocks,Troy Miller,Brian Regan,United States,"February 23, 2021",2021,TV-G,58 min,Stand-Up Comedy,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins."
s1290,Movie,Wave of Cinema: Surat dari Timur,Saron Sakina,"Glenn Fredly, Marcello Tahitoe, Andien, Rahmania Astrini, Gamaliel, Cantika Abigail, Ivan Nestorman, Molukka Hiphop Community, Julie Estelle, Yovie Widianto, Irfan Ramli",,"February 20, 2021",2020,TV-G,58 min,"Documentaries, International Movies, Music & Musicals","Featuring a mix of film footage and special performances, this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly."
s1318,TV Show,Nadiya Bakes,,Nadiya Hussain,United Kingdom,"February 12, 2021",2021,TV-G,1 Season,"British TV Shows, International TV Shows, Reality TV","Delightful cakes and heavenly breads pop from the oven as Nadiya Hussain returns to baking, her happy place, and spotlights creative kindred spirits."
s1333,TV Show,ICarly,,"Miranda Cosgrove, Nathan Kress, Jerry Trainor, Jennette McCurdy, Noah Munck, Mary Scheer",United States,"February 8, 2021",2008,TV-G,2 Seasons,"Kids' TV, TV Comedies",A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.
s1404,Movie,Double Dad,Cris D'Amato,"Maisa Silva, Eduardo Moscovis, Marcelo Médici, Laila Zaid, Pedro Ottoni, Rayana Diniz, Caio Vegatti, Fafá de Belém, Thaynara Og, Roberto Bonfim",Brazil,"January 15, 2021",2020,TV-G,105 min,"Children & Family Movies, Comedies, Dramas","While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is."
s1405,TV Show,Henry Danger,,"Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen",United States,"January 15, 2021",2016,TV-G,3 Seasons,"Kids' TV, TV Comedies","A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger."
s1443,TV Show,Korean Pork Belly Rhapsody,,Paik Jong-won,,"January 4, 2021",2020,TV-G,1 Season,"Docuseries, International TV Shows",A love letter to pork belly — a perennial favorite among Koreans of every generation — unfolds with an exploration of its history and cooking methods.
s1450,TV Show,Dream Home Makeover,,,United States,"January 1, 2021",2021,TV-G,2 Seasons,Reality TV,"Dreams come true for real families looking for the perfect home tailored to their own unique style, thanks to Shea and Syd McGee of Studio McGee."
s1456,TV Show,Headspace Guide to Meditation,,Andy Puddicombe,United States,"January 1, 2021",2021,TV-G,1 Season,"Docuseries, Science & Nature TV","Headspace takes a friendly, animated look at the benefits of meditation while offering techniques and guided meditations to jump-start your practice."
s1466,TV Show,The Haunted Hathaways,,"Amber Frank, Curtis Harris, Benjamin Flores Jr., Breanna Yde, Ginifer King, Chico Benymon",United States,"January 1, 2021",2013,TV-G,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Single mom Michelle Hathaway and her daughters find that they share their New Orleans home with the ghosts of single dad Ray Preston and his two sons.
s1477,TV Show,Best Leftovers Ever!,,"Jackie Tohn, David So, Rosemary Shrager",United States,"December 30, 2020",2020,TV-G,1 Season,Reality TV,Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.
s1494,Movie,Isa Pa with Feelings,Prime Cruz,"Maine Mendoza, Carlo Aquino, Lotlot De Leon, Cris Villanueva, Nikki Valdez, Vangie Labalan, Geleen Eugenio",Philippines,"December 25, 2020",2019,TV-G,102 min,"International Movies, Romantic Movies","When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences."
s1497,Movie,Cemara's Family,Yandy Laurens,"Ringgo Agus Rahman, Nirina Zubir, Zara JKT48, Widuri Puteri, Ariyo Wahab, Asri Welas, Abdurrahman Arif, Kafin Sulthan",Indonesia,"December 24, 2020",2018,TV-G,110 min,"Children & Family Movies, Dramas, International Movies","After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village."
s1566,Movie,Just The Way You Are,Theodore Boborol,"Enrique Gil, Liza Soberano, Yves Flores, Sue Ramirez, Erin Ocampo, Yayo Aguila, Alex Diaz, Jon Lucas, Chienna Filomeno, Marco Gumabao, Myrtle Sarrosa, Kyra Custodio, Miguel Vergara, Tonton Gutierrez, Ricky Davao, Sunshine Cruz",Philippines,"December 10, 2020",2016,TV-G,107 min,"International Movies, Romantic Movies",An overconfident teen bets he can make a homely transfer student fall in love with him in 30 days — but the wager starts to play games with his heart.
s1573,TV Show,The Big Show Show,,"Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld",United States,"December 9, 2020",2020,TV-G,2 Seasons,"Kids' TV, TV Comedies",Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.
s1668,TV Show,Flavorful Origins,,Yang Chen,China,"November 20, 2020",2020,TV-G,3 Seasons,"Docuseries, International TV Shows","Delve into the delectable world of Chaoshan cuisine, explore its unique ingredients and hear the stories of the people behind its creation."
s1682,Movie,The Princess Switch: Switched Again,Mike Rohl,"Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann",United States,"November 19, 2020",2020,TV-G,97 min,"Children & Family Movies, Comedies, Dramas","When Margaret's Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?"
s1683,Movie,Three Words to Forever,Cathy Garcia-Molina,"Sharon Cuneta, Richard Gomez, Kathryn Bernardo, Liza Lorena, Freddie Webb, Tommy Esguerra, Joross Gamboa, Tobie Dela Cruz",Philippines,"November 19, 2020",2018,TV-G,107 min,"Comedies, Dramas, International Movies","As they near their 25th wedding anniversary, Rick and Cristy try to conceal their crumbling marriage while their family prepares for a big celebration."
s1685,TV Show,Holiday Home Makeover with Mr. Christmas,,Benjamin Bradley,United States,"November 18, 2020",2020,TV-G,1 Season,Reality TV,"Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of ""elves” to help families transform their homes for the holidays."
s1692,Movie,A Very Country Christmas,Justin G. Dyck,"Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack","United States, Canada","November 15, 2020",2017,TV-G,84 min,"Music & Musicals, Romantic Movies","When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart."
s1696,Movie,Hometown Holiday,Justin G. Dyck,"Sarah Troyer, Bradley Hamilton, Kevin McGarry, Samantha Gracie",Canada,"November 15, 2020",2018,TV-G,84 min,Romantic Movies,"An ambitious entertainment lawyer tries to sign a singing sensation in his sister's small town, but a local soon captures his attention — and heart."
s1700,Movie,White Christmas,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",United States,"November 15, 2020",1954,TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies","Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."
s1708,Movie,A Very Special Love,Cathy Garcia-Molina,"John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Oseña-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo",Philippines,"November 12, 2020",2008,TV-G,107 min,"International Movies, Romantic Movies","After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."
s1735,Movie,Midnight at the Magnolia,Maxwell McGuire,"Natalie Hall, Evan Williams, Michael Gordon Shore, Steve Cumyn, Albert Brooks",Canada,"November 5, 2020",2020,TV-G,87 min,"Comedies, Romantic Movies",Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.
s1737,Movie,Operation Christmas Drop,Martin Wood,"Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best",United States,"November 5, 2020",2020,TV-G,96 min,"Children & Family Movies, Comedies, Romantic Movies",A by-the-book political aide falls for a big-hearted Air Force pilot while looking to shut down his tropical base and its airborne Christmas tradition.
s1739,Movie,A Christmas Catch,,"Emily Alatalo, Lauren Holly, Yanic Truesdale, Franco Lo Presti, Andrew Bushell, Genelle Williams, Kyana Teresa, Eric Hicks",Canada,"November 4, 2020",2018,TV-G,87 min,"Dramas, Romantic Movies",A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues — and new feelings — for the suspect.
s1961,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",Woody Harrelson,United States,"September 22, 2020",2020,TV-G,85 min,Documentaries,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.
s1980,TV Show,The American Barbecue Showdown,,"Lyric Lewis, Rutledge Wood",United States,"September 18, 2020",2020,TV-G,1 Season,Reality TV,Eight of the country's best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.
s2021,Movie,Dhh,Manish Saini,"Naseeruddin Shah, Kahaan, Kuldeep Sodha",India,"September 10, 2020",2017,TV-G,127 min,"Children & Family Movies, Dramas, International Movies","Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
s2023,TV Show,Julie and the Phantoms,Kenny Ortega,"Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada, Jadah Marie, Sacha Carlson, Savannah Lee May, Cheyenne Jackson, Carlos Ponce, Booboo Stewart, Sonny Bustamante",United States,"September 10, 2020",2020,TV-G,1 Season,"Kids' TV, TV Comedies","Julie lost her passion for music when she lost her mom. But when three ghostly guys appear and lift her spirits, they decide to start a band together!"
s2028,Movie,Satria Heroes: Revenge of the Darkness,"Kenzo Maihara, Amandha Wyanto","Christian Loho, Fernando Surya, Yayan Ruhian, Stella Cornelia, Yui Takano, Safira Ratu, Faris Fadjar Munggaran, Adhitya Alkatiri",Indonesia,"September 10, 2020",2017,TV-G,92 min,Children & Family Movies,"As he rebuilds society in a parallel universe, a superhero must return to Earth to help his equally powerful friend defend the planet from evil rivals."
s2039,Movie,My Octopus Teacher,"Pippa Ehrlich, James Reed",,South Africa,"September 7, 2020",2020,TV-G,86 min,"Children & Family Movies, Documentaries, International Movies","A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
s2058,Movie,Sky Tour: The Movie,Nguyen Thanh Tung,Son Tung M-TP,Vietnam,"September 2, 2020",2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals","From the preparations to the performances, this documentary showcases Vietnamese pop idol Sơn Tùng M-TP and the passion behind his Sky Tour concerts."
s2103,TV Show,Ojos in d' House,,"'Najite Dede, Jude Chukwuka, Taiwo Arimoro, Odenike Odetola, Funmi Eko, Keppy Ekpenyong",Nigeria,"August 22, 2020",2013,TV-G,1 Season,"International TV Shows, TV Comedies","After a newly rich family moves into an upper-class neighborhood, they try to keep their matriarch's obsessive pursuit of social acceptance in check."
s2129,Movie,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,Anna Stone,,,"August 14, 2020",2020,TV-G,59 min,"Documentaries, International Movies, Sports Movies","With highlights from the 2020 tourney, this program offers an inside look at the global showcase for women's cricket — the ICC Women's T20 World Cup."
s2145,TV Show,GAME ON: A Comedy Crossover Event,,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Paul Wight, Allison Munn, Gabriel Iglesias, Sherri Shepherd, Paulina Chávez, Jencarlos Canela",United States,"August 10, 2020",2020,TV-G,1 Season,"Kids' TV, TV Comedies","Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series."
s2168,Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",United States,"August 4, 2020",2020,TV-G,71 min,"Children & Family Movies, Comedies","As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition."
s2175,TV Show,My Perfect Landing,,"Morgan Wigle, Tom Hulshof, Helena Marie, Shawn Thompson, Natasha Zaborski, Ajanae Stephenson, Francesca Van Keekan, Jordan Clark",Canada,"August 1, 2020",2020,TV-G,1 Season,Kids' TV,Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.
